batch_size	batch_id	time	sampler	dataset
2	0	0.009148032999999778	basic	countries
2	0	0.008985691000000351	basic	countries
2	0	0.008989284000000097	basic	countries
2	0	0.009217457000000095	basic	countries
2	0	0.009196512000000379	basic	countries
2	0	0.009285366999999933	basic	countries
2	0	0.009163930000000153	basic	countries
2	0	0.009348279000000126	basic	countries
2	0	0.008973177999999749	basic	countries
2	0	0.008988009999999935	basic	countries
2	0	0.00909503200000028	basic	countries
2	0	0.008825966999999935	basic	countries
2	0	0.008797163999999746	basic	countries
2	0	0.008788057999999932	basic	countries
2	0	0.00878988199999986	basic	countries
2	0	0.00881756700000036	basic	countries
2	0	0.008811935999999854	basic	countries
2	0	0.008844553999999949	basic	countries
2	0	0.008820447999999814	basic	countries
2	0	0.008813114000000066	basic	countries
2	0	0.008823909999999824	basic	countries
2	0	0.008827720000000205	basic	countries
2	0	0.008801141999999818	basic	countries
2	1	0.008894988000000215	basic	countries
2	1	0.008928947999999881	basic	countries
2	1	0.008894150999999795	basic	countries
2	1	0.00900359400000017	basic	countries
2	1	0.00888914800000018	basic	countries
2	1	0.00893748200000033	basic	countries
2	1	0.00887657300000022	basic	countries
2	1	0.009367117000000036	basic	countries
2	1	0.00879521999999966	basic	countries
2	1	0.008774586000000362	basic	countries
2	1	0.008773331999999634	basic	countries
2	1	0.008755379000000119	basic	countries
2	1	0.008787299999999831	basic	countries
2	1	0.008737522999999747	basic	countries
2	1	0.00874284000000003	basic	countries
2	1	0.008748004999999281	basic	countries
2	1	0.008764667000000337	basic	countries
2	1	0.008753826000000409	basic	countries
2	1	0.0087496680000001	basic	countries
2	1	0.00874109799999978	basic	countries
2	1	0.008728266000000318	basic	countries
2	1	0.008714893000000501	basic	countries
2	1	0.00873517700000015	basic	countries
2	2	0.008804697999999611	basic	countries
2	2	0.008785016000000034	basic	countries
2	2	0.008771594000000604	basic	countries
2	2	0.008843730000000605	basic	countries
2	2	0.00889377099999944	basic	countries
2	2	0.008588416000000265	basic	countries
2	2	0.008817322000000516	basic	countries
2	2	0.008589204999999822	basic	countries
2	2	0.008556962000000112	basic	countries
2	2	0.00852795200000056	basic	countries
2	2	0.008529113999999893	basic	countries
2	2	0.008530630000000095	basic	countries
2	2	0.008550057999999972	basic	countries
2	2	0.008524614000000597	basic	countries
2	2	0.0085477479999998	basic	countries
2	2	0.00853318799999947	basic	countries
2	2	0.008518663999999454	basic	countries
2	2	0.008502739999999953	basic	countries
2	2	0.008497730000000203	basic	countries
2	2	0.008523207000000532	basic	countries
2	2	0.008507888999999658	basic	countries
2	2	0.00850780100000037	basic	countries
2	2	0.008478016000000643	basic	countries
2	2	0.008493522000000198	basic	countries
2	3	0.008484389999999564	basic	countries
2	3	0.008471966000000108	basic	countries
2	3	0.00849728900000013	basic	countries
2	3	0.00861360599999994	basic	countries
2	3	0.008506184999999888	basic	countries
2	3	0.008479232000000003	basic	countries
2	3	0.00844085700000008	basic	countries
2	3	0.008411198999999314	basic	countries
2	3	0.008418022999999941	basic	countries
2	3	0.008440776999999677	basic	countries
2	3	0.008444296999999601	basic	countries
2	3	0.008437439999999796	basic	countries
2	3	0.008429282999999899	basic	countries
2	3	0.008376295000000589	basic	countries
2	3	0.008368403000000413	basic	countries
2	3	0.008374599999999788	basic	countries
2	3	0.008726858999999365	basic	countries
2	3	0.008765413999999971	basic	countries
2	3	0.00875766800000033	basic	countries
2	3	0.008769879000000813	basic	countries
2	3	0.008734635999999796	basic	countries
2	3	0.00878354999999953	basic	countries
2	3	0.008736456999999476	basic	countries
2	3	0.008726124999999918	basic	countries
2	4	0.008749235000000688	basic	countries
2	4	0.008694068999999693	basic	countries
2	4	0.00866180800000027	basic	countries
2	4	0.009186358000000006	basic	countries
2	4	0.008451387000000032	basic	countries
2	4	0.008399627000000187	basic	countries
2	4	0.008395289000000083	basic	countries
2	4	0.008397820999999972	basic	countries
2	4	0.008397635999999764	basic	countries
2	4	0.008403931000000142	basic	countries
2	4	0.00840907099999999	basic	countries
2	4	0.008381442000000128	basic	countries
2	4	0.009018485000000354	basic	countries
2	4	0.008595693000000182	basic	countries
2	4	0.008451767999999582	basic	countries
2	4	0.00892185000000012	basic	countries
2	4	0.00878644400000006	basic	countries
2	4	0.00872177200000035	basic	countries
2	4	0.008686375999999996	basic	countries
2	4	0.008664125000000134	basic	countries
2	4	0.00869497500000005	basic	countries
2	4	0.008666645000000806	basic	countries
2	4	0.00864887000000003	basic	countries
2	4	0.00872932500000001	basic	countries
2	5	0.008777765999999687	basic	countries
2	5	0.008814866999999893	basic	countries
2	5	0.008798607000000125	basic	countries
2	5	0.008859302000000291	basic	countries
2	5	0.008843140999999832	basic	countries
2	5	0.008652656999999842	basic	countries
2	5	0.008454655000000422	basic	countries
2	5	0.008428381999999957	basic	countries
2	5	0.00846888400000001	basic	countries
2	5	0.008641982000000326	basic	countries
2	5	0.00855627400000003	basic	countries
2	5	0.008500540000000001	basic	countries
2	5	0.008491954000000135	basic	countries
2	5	0.008506310999999656	basic	countries
2	5	0.008532591999999894	basic	countries
2	5	0.008541504000000089	basic	countries
2	5	0.008510671999999886	basic	countries
2	5	0.00847132699999964	basic	countries
2	5	0.008477076000000139	basic	countries
2	5	0.008486550999999842	basic	countries
2	5	0.008464546999999989	basic	countries
2	5	0.00867728500000009	basic	countries
2	5	0.008483079000000338	basic	countries
2	5	0.008433111000000437	basic	countries
2	6	0.008438980000000207	basic	countries
2	6	0.008386773999999875	basic	countries
2	6	0.00837421599999999	basic	countries
2	6	0.00840298500000003	basic	countries
2	6	0.008560897999999817	basic	countries
2	6	0.008496873000000349	basic	countries
2	6	0.008481490999999508	basic	countries
2	6	0.008469754000000052	basic	countries
2	6	0.008482223000000566	basic	countries
2	6	0.008470203000000787	basic	countries
2	6	0.008469755000000134	basic	countries
2	6	0.008474617000000073	basic	countries
2	6	0.008519251000000061	basic	countries
2	6	0.00846653999999969	basic	countries
2	6	0.008426178000000561	basic	countries
2	6	0.008422187999999942	basic	countries
2	6	0.008434899999999246	basic	countries
2	6	0.008633829999999953	basic	countries
2	6	0.008120757000000367	basic	countries
2	6	0.008105807999999826	basic	countries
2	6	0.00813992600000013	basic	countries
2	6	0.008148881999999524	basic	countries
2	6	0.008158480999999718	basic	countries
2	6	0.008152996999999829	basic	countries
2	7	0.008236310999999219	basic	countries
2	7	0.008223913000000138	basic	countries
2	7	0.008223901000000033	basic	countries
2	7	0.00824329800000001	basic	countries
2	7	0.00892378500000035	basic	countries
2	7	0.008103866999999987	basic	countries
2	7	0.008111486000000667	basic	countries
2	7	0.008098362000000137	basic	countries
2	7	0.008094187000000197	basic	countries
2	7	0.008451800000000453	basic	countries
2	7	0.008402638999999823	basic	countries
2	7	0.008379079000000011	basic	countries
2	7	0.008203139000000803	basic	countries
2	7	0.00816525499999976	basic	countries
2	7	0.008145151999999989	basic	countries
2	7	0.008142369999999843	basic	countries
2	7	0.008136410000000538	basic	countries
2	7	0.00814907700000056	basic	countries
2	7	0.00812598100000006	basic	countries
2	7	0.008120068000000202	basic	countries
2	7	0.008326499999999903	basic	countries
2	7	0.008221743000000004	basic	countries
2	7	0.008208022999999898	basic	countries
2	7	0.00818375299999996	basic	countries
2	7	0.00817952299999991	basic	countries
2	8	0.008179682999999827	basic	countries
2	8	0.00815065100000023	basic	countries
2	8	0.008165617999999597	basic	countries
2	8	0.008393386999999919	basic	countries
2	8	0.008219843000000004	basic	countries
2	8	0.008191973999999824	basic	countries
2	8	0.00819722700000014	basic	countries
2	8	0.00815639599999951	basic	countries
2	8	0.008182504000000534	basic	countries
2	8	0.008182201999999528	basic	countries
2	8	0.00813983300000043	basic	countries
2	8	0.008137621000000372	basic	countries
2	8	0.008132642999999717	basic	countries
2	8	0.008144961000000173	basic	countries
2	8	0.008158669999999368	basic	countries
2	8	0.008183445000000233	basic	countries
2	8	0.00815122500000065	basic	countries
2	8	0.008137745999999169	basic	countries
2	8	0.008162150999999618	basic	countries
2	8	0.008165441000000051	basic	countries
2	8	0.008318596999999706	basic	countries
2	8	0.008225275000000032	basic	countries
