hash	dataset	sampler	batch_size	batch_id	time
49a86a6d	umls	bernoulli	2	0	0.0017169250000108605
49a86a6d	umls	bernoulli	2	0	0.0016715309999995043
49a86a6d	umls	bernoulli	2	0	0.00167486899999858
49a86a6d	umls	bernoulli	2	0	0.001620497999994086
49a86a6d	umls	bernoulli	2	0	0.0019716589999916323
49a86a6d	umls	bernoulli	2	0	0.0017926600000066628
49a86a6d	umls	bernoulli	2	0	0.0017215109999995093
49a86a6d	umls	bernoulli	2	0	0.0017176029999745879
49a86a6d	umls	bernoulli	2	0	0.0021935549999909654
49a86a6d	umls	bernoulli	2	0	0.001696323999993865
49a86a6d	umls	bernoulli	2	0	0.001691993999997976
49a86a6d	umls	bernoulli	2	0	0.0016933020000067245
49a86a6d	umls	bernoulli	2	0	0.0016865000000052532
49a86a6d	umls	bernoulli	2	0	0.0017083749999926567
49a86a6d	umls	bernoulli	2	0	0.0021257279999815637
49a86a6d	umls	bernoulli	2	0	0.0016453830000102698
49a86a6d	umls	bernoulli	2	0	0.00169208800002707
49a86a6d	umls	bernoulli	2	0	0.0018973739999808004
49a86a6d	umls	bernoulli	2	0	0.0016648790000033387
49a86a6d	umls	bernoulli	2	0	0.0017972489999920072
49a86a6d	umls	bernoulli	2	0	0.001800844000001689
49a86a6d	umls	bernoulli	2	0	0.0019208690000027673
49a86a6d	umls	bernoulli	2	0	0.001698611999984223
49a86a6d	umls	bernoulli	2	0	0.0016708619999974417
49a86a6d	umls	bernoulli	2	0	0.0017023080000058144
49a86a6d	umls	bernoulli	2	0	0.0016897869999752402
49a86a6d	umls	bernoulli	2	0	0.0021655289999955585
49a86a6d	umls	bernoulli	2	0	0.0016571959999964747
49a86a6d	umls	bernoulli	2	0	0.0016858650000131092
49a86a6d	umls	bernoulli	2	0	0.0016612510000015845
49a86a6d	umls	bernoulli	2	0	0.0019713220000028286
49a86a6d	umls	bernoulli	2	0	0.0018308680000131972
49a86a6d	umls	bernoulli	2	0	0.0016820189999862123
49a86a6d	umls	bernoulli	2	0	0.0016577259999905891
49a86a6d	umls	bernoulli	2	0	0.0016534070000204792
49a86a6d	umls	bernoulli	2	0	0.001836108999981434
49a86a6d	umls	bernoulli	2	0	0.0017266280000001188
49a86a6d	umls	bernoulli	2	0	0.0017178299999898172
49a86a6d	umls	bernoulli	2	0	0.001672239000015452
49a86a6d	umls	bernoulli	2	0	0.0017220729999962714
49a86a6d	umls	bernoulli	2	0	0.0016705970000145953
49a86a6d	umls	bernoulli	2	0	0.00172616599999742
49a86a6d	umls	bernoulli	2	0	0.0016983980000020438
49a86a6d	umls	bernoulli	2	0	0.001682267000006732
49a86a6d	umls	bernoulli	2	0	0.001664282999996658
49a86a6d	umls	bernoulli	2	0	0.0016882719999955498
49a86a6d	umls	bernoulli	2	0	0.0016180309999924702
49a86a6d	umls	bernoulli	2	0	0.0017096050000020568
49a86a6d	umls	bernoulli	2	0	0.001684820000008358
49a86a6d	umls	bernoulli	2	0	0.001842598999985512
49a86a6d	umls	bernoulli	2	0	0.0017635320000124466
49a86a6d	umls	bernoulli	2	0	0.0018137440000032257
49a86a6d	umls	bernoulli	2	0	0.0017020880000018224
49a86a6d	umls	bernoulli	2	0	0.0018199219999814886
49a86a6d	umls	bernoulli	2	0	0.001783003000014105
49a86a6d	umls	bernoulli	2	0	0.001945898000002444
49a86a6d	umls	bernoulli	2	0	0.0018413949999853685
49a86a6d	umls	bernoulli	2	0	0.001740036000001055
49a86a6d	umls	bernoulli	2	0	0.0017078300000150648
49a86a6d	umls	bernoulli	2	0	0.0016735100000175862
49a86a6d	umls	bernoulli	2	0	0.0017462780000130351
49a86a6d	umls	bernoulli	2	0	0.0018128090000004704
49a86a6d	umls	bernoulli	2	0	0.0018074510000190003
49a86a6d	umls	bernoulli	2	0	0.0017598590000034164
49a86a6d	umls	bernoulli	2	0	0.0017555960000095183
49a86a6d	umls	bernoulli	2	0	0.0018968740000104845
49a86a6d	umls	bernoulli	2	0	0.0019455279999931463
49a86a6d	umls	bernoulli	2	0	0.0017473939999774757
49a86a6d	umls	bernoulli	2	0	0.0017183850000037637
49a86a6d	umls	bernoulli	2	0	0.0018760250000013912
