dataset	sampler	filterer	fnr
kinships	basic	pythonset	0.080810546875
kinships	basic	pythonset	0.109130859375
kinships	basic	pythonset	0.091796875
kinships	basic	pythonset	0.131103515625
kinships	basic	pythonset	0.056396484375
kinships	basic	pythonset	0.092041015625
kinships	basic	pythonset	0.07763671875
kinships	basic	pythonset	0.09375
kinships	basic	pythonset	0.10009765625
kinships	basic	pythonset	0.08349609375
kinships	basic	pythonset	0.110595703125
kinships	basic	pythonset	0.092529296875
kinships	basic	pythonset	0.104736328125
kinships	basic	pythonset	0.064697265625
kinships	basic	pythonset	0.14111328125
kinships	basic	pythonset	0.1650390625
kinships	basic	pythonset	0.189453125
kinships	basic	pythonset	0.192138671875
kinships	basic	pythonset	0.197509765625
kinships	basic	pythonset	0.1962890625
kinships	basic	pythonset	0.200439453125
kinships	basic	pythonset	0.19384765625
kinships	basic	pythonset	0.196044921875
kinships	basic	pythonset	0.194580078125
kinships	basic	pythonset	0.19873046875
kinships	basic	pythonset	0.192138671875
kinships	basic	pythonset	0.206787109375
kinships	basic	pythonset	0.196044921875
kinships	basic	pythonset	0.1943359375
kinships	basic	pythonset	0.195068359375
kinships	basic	pythonset	0.1240234375
kinships	basic	pythonset	0.12646484375
kinships	basic	pythonset	0.11865234375
kinships	basic	pythonset	0.1474609375
kinships	basic	pythonset	0.038818359375
kinships	basic	pythonset	0.185546875
kinships	basic	pythonset	0.13037109375
kinships	basic	pythonset	0.160888671875
kinships	basic	pythonset	0.1328125
kinships	basic	pythonset	0.1455078125
kinships	basic	pythonset	0.14501953125
kinships	basic	pythonset	0.12646484375
kinships	basic	pythonset	0.035888671875
kinships	basic	pythonset	0.11279296875
kinships	basic	pythonset	0.00830078125
kinships	basic	pythonset	0.048583984375
kinships	basic	pythonset	0.120849609375
kinships	basic	pythonset	0.137451171875
kinships	basic	pythonset	0.12255859375
kinships	basic	pythonset	0.1201171875
kinships	basic	pythonset	0.123291015625
kinships	basic	pythonset	0.116455078125
kinships	basic	pythonset	0.112060546875
kinships	basic	pythonset	0.11083984375
kinships	basic	pythonset	0.123291015625
kinships	basic	pythonset	0.118896484375
