dataset	sampler	filterer	fnr
nations	pseudotyped	pythonset	0.29541015625
nations	pseudotyped	pythonset	0.281005859375
nations	pseudotyped	pythonset	0.28173828125
nations	pseudotyped	pythonset	0.459716796875
nations	pseudotyped	pythonset	0.657470703125
nations	pseudotyped	pythonset	0.605712890625
nations	pseudotyped	pythonset	0.432373046875
nations	pseudotyped	pythonset	0.50146484375
nations	pseudotyped	pythonset	0.48828125
nations	pseudotyped	pythonset	0.493408203125
nations	pseudotyped	pythonset	0.439453125
nations	pseudotyped	pythonset	0.4560546875
nations	pseudotyped	pythonset	0.453369140625
nations	pseudotyped	pythonset	0.470703125
nations	pseudotyped	pythonset	0.22021484375
nations	pseudotyped	pythonset	0.18310546875
nations	pseudotyped	pythonset	0.2119140625
nations	pseudotyped	pythonset	0.491943359375
nations	pseudotyped	pythonset	0.58642578125
nations	pseudotyped	pythonset	0.625244140625
nations	pseudotyped	pythonset	0.57568359375
nations	pseudotyped	pythonset	0.809814453125
nations	pseudotyped	pythonset	0.638427734375
nations	pseudotyped	pythonset	0.638671875
nations	pseudotyped	pythonset	0.56494140625
nations	pseudotyped	pythonset	0.658447265625
nations	pseudotyped	pythonset	0.65673828125
nations	pseudotyped	pythonset	0.63330078125
nations	pseudotyped	pythonset	0.78759765625
nations	pseudotyped	pythonset	0.30859375
nations	pseudotyped	pythonset	0.52685546875
nations	pseudotyped	pythonset	0.740234375
nations	pseudotyped	pythonset	0.8388671875
nations	pseudotyped	pythonset	0.837646484375
nations	pseudotyped	pythonset	0.832763671875
nations	pseudotyped	pythonset	0.798583984375
nations	pseudotyped	pythonset	0.72802734375
nations	pseudotyped	pythonset	0.836669921875
nations	pseudotyped	pythonset	0.517822265625
nations	pseudotyped	pythonset	0.69091796875
nations	pseudotyped	pythonset	0.511474609375
nations	pseudotyped	pythonset	0.51123046875
nations	pseudotyped	pythonset	0.744873046875
nations	pseudotyped	pythonset	0.744140625
nations	pseudotyped	pythonset	0.735107421875
nations	pseudotyped	pythonset	0.313720703125
nations	pseudotyped	pythonset	0.636474609375
nations	pseudotyped	pythonset	0.635986328125
nations	pseudotyped	pythonset	0.62939453125
nations	pseudotyped	pythonset	0.244384765625
nations	pseudotyped	pythonset	0.286865234375
nations	pseudotyped	pythonset	0.5419921875
nations	pseudotyped	pythonset	0.7021484375
nations	pseudotyped	pythonset	0.6376953125
nations	pseudotyped	pythonset	0.85498046875
nations	pseudotyped	pythonset	0.700439453125
nations	pseudotyped	pythonset	0.7890625
nations	pseudotyped	pythonset	0.85302734375
nations	pseudotyped	pythonset	0.775146484375
nations	pseudotyped	pythonset	0.690185546875
nations	pseudotyped	pythonset	0.72607421875
nations	pseudotyped	pythonset	0.810546875
nations	pseudotyped	pythonset	0.77099609375
nations	pseudotyped	pythonset	0.54150390625
nations	pseudotyped	pythonset	0.7646484375
nations	pseudotyped	pythonset	0.703857421875
nations	pseudotyped	pythonset	0.5439453125
nations	pseudotyped	pythonset	0.69873046875
nations	pseudotyped	pythonset	0.597900390625
nations	pseudotyped	pythonset	0.656494140625
nations	pseudotyped	pythonset	0.651123046875
nations	pseudotyped	pythonset	0.6884765625
nations	pseudotyped	pythonset	0.475341796875
nations	pseudotyped	pythonset	0.65478515625
nations	pseudotyped	pythonset	0.337890625
nations	pseudotyped	pythonset	0.456787109375
nations	pseudotyped	pythonset	0.371337890625
nations	pseudotyped	pythonset	0.34423828125
nations	pseudotyped	pythonset	0.655029296875
nations	pseudotyped	pythonset	0.537353515625
nations	pseudotyped	pythonset	0.72314453125
